Author,issueTitle,issueBody,issueComments
Tomás Morales de Luna,fix opening pdf with okular in linux (#5253),"<!-- possible fix for issue #5253clicking on a document icon does not open the associated pdf  the pdf viewer opens and closes immediately this seems to be related to kde desktop with okular as default pdf reader when okulas gives an error/warning message discarding ""send sms via kde connect"" (""shareurl"")it is not correctly handled and the program closesone possible solution is to read the buffer in some way when xdg-open is called by runtimegetruntime()exec()-->-  change in changelogmd described (if applicable)-  -  [](   <https://githubcom/jabref/user-documentation/issues>"," || thanks for your contribution @t-morales !may i ask you to to unabbreviate the variables and to give them a selfexplaining name? you can also link the fix in github to automatically close the issue (""5253"")just because im curious: how does the fix work? edit: nevermind just saw the extensive discussion -) || @calixtus as i said in the issue #5253 i am not familiarized with java it was more or less a trial and error procedure with the help of the comments of other users not so sure why this works and it would be good if someone with better understanding on java took a look at that || thanks for the follow-up!"
Abraham Polk,,,
Marco Aurélio Graciotto Silva,,,
Dominik Voigt,,,
Roy Storey, switch to the mariadb connector from the mysql one,switch from `commysqlcjjdbcdriver` to `orgmariadbjdbcdriver`## references#4745 ## checklisthappy to work on these as required-  change in changelogmd described-   (modified original)-  ([travis](   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)," || hey @kiwiroy thank you for this contribution!after some minutes of comparing the jdbc drivers im not sure why mariadb is the obvious way to go so please add more reasoning both here in the comments as well as a condensed version in an architecture decision record here  will help us to judge upon the benefits and consequences of this change || im curious: would it be possible to have both connectors eg mysql and mariadb together so that a user can choose between them or does this create conflics? || just some comments here first:im unsure if this is relevant but this [blog] has *some* background informationmariadb provide a comprehensive [feature comparison] though that is mainlyserver features rather than client as far as possible they maintain protocol[compatibility] for clientsfor the linked issue (#4745) the mysql connector does not connect to the pamenabled server despite [claims] the mysql connector documentation mention aconfiguration property [authenticationplugins] which is a *""comma-delimited listof classes that implement commysqlcjprotocolauthenticationplugin""* a pamclass id expect `dialog` cannot be seen in the connector either<img width""286"" alt""commysqlcjprotocolaauthentication"" src"" [mariadb] implementations include a specific class for thisthis [stackoverflow][stackoverflow-1] thread pointed me to the mariadb connectoras a replacement that would achieve a connection and the comment in [this one][stackoverflow-2]suggests that performance will not be an issue> the performance in mysql and with the mysql-connectorj was worse in all cases than mariadbit is possible to have the two resident in the class path [concurrently][blog]:  comparison]:        walkthough]:     || first [pass]( at mysql **and** mariadb travis test suite [passes]( and local testing of mariadb connector against the database with pam auth succeeds while only changing the dropdown to mysql results in the `unable to load authentication plugin dialog` message**nb** as the driver is the only difference i chose to reuse the mysqlprocessor class  || yeah cool that it works! that would be best compromise here i think  || right should this pr be closed and a new one created - after a little tidy up?also any pointers on how [this passed]( while including [this line]( || hm that is really odd regarding the test try debugging the test locally or add a systemoutprintln before comparing the values to see the outputyou can either reuse this  pr if you want or use the other pr whatever you want || @kiwiroy  what is the current status here? it would be really nice to have this inlcuded || i’ve had a busy few weeks will attend to it soon  || @kiwiroy any update? || closing due to inactivity feel free to reopen it if you have time to work on it || i resolved the conflicts and are going to merge it i will add an adrwe keep only mariadb reason: mysql connector/j 80 is licensed under gpl source: < without limiting the foregoing grant of rights under the gplv2 and additional permission as to separately licensed software this connector is also subject to the universal foss exception version 10 a copy of which is reproduced below and can also be found along with its faq at  understand that there is that foss exception but i am not aware of the consequences - and that exception is not commonly known"
Peiqi Yin,,,
Sascha Zeller,ovidimportertest,,|| is there any real data tested? is ovid used in the wild? || the tests look good however quite a few information get lost upon import for example in the 7th file there is no keywords language and issn information could you pls try to implement a few more mapping rules?  || importer improved to imports the following fields: doi issn language and keywords || thanks! looks good and has 100% test coverage! can you pls rebase / merge so that it can be merged in? || please resolve the conflicts
Fiyinfolu Eludire,,,
Jonatan Asketorp,,,
Deepak Kumar,"fix right clicking on any entry and selecting ""open folder"" results in the nullpointer exception","4763the issue was when a user right-clicks an entry and right click ""open folder""  then it results in null pointer exception in linux systemthe main cause for this issue was in the linux implementation of nativedesktop(linuxjava#openfolderandselectfile) that code looks for an environment variable named desktop_session and if this variable is not set in any system then it will result in null pointer exceptionthe fix was to check if desktop_session variable is present or not if not present then run a default command which will try to open the folderanother issue was that if a system does not have a file browser installed then right-clicking on any entry and selecting ""open folder"" option will not do anything(if there is no file browser installed in the system)to fix this issue ive added an option in preference setting window to set command or program for default file browser where a user can explicitly set command or let jefref use a default behavior like this:![jabref-fix-4763](  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)",|| could you please check issue #4802 as well? || @siedlerchr  okay ill try to fix this issue
Tianjian lei,showing correct icon on main table linked files column,"   link issues that are fixed eg ""333"" link it eg ""fixes  title of the pr must not reference an issue because github does not support autolinking there-->fixes #6169 hello i have fixed the bugs that appear in the icon of the linked file column i create a draft pull request if there are breaking any contribution rules please let me know if everything is ok i will create a pull request then i have tested to import some format of doc just a simple test of docx pptx and pdf format files( the source code i have a question: i found the wrong icon still shows in the general -> files list which only shows pdf icon no matter what format of files attached then i found orgjabrefguifieldeditorslinkedfileviewmodel#gettypeicon() which directly indicate the icon to pdf which seems like the source of the bug there is a todo comment above which seems like this bug has already discovered then i went through the issue list and tried to find some relevant thing to this bug (todo) but nothing found i would be happy if you can provide more info about it thanks ^_^![image]( - go through the list below if a task has been completed mark it done by using ``- please dont remove any items just leave them unchecked if they are not applicable-->-  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository"," || thanks for your instructions! im not very familiar with the code in fact really appreciate that you can indicate the source of the problem i will try again for the addition bug (i think) i will try to work on it and thanks for your tips || nice to hear! you can also reuse this pr if you want (just push your updates to the same branch)  || please be aware that a ""linkedfile"" can also be a  url or link i dont know if this is actually considered in the file type || ok i will reuse this pr next time i want to commit some code@siedlerchr thanks for your additional tips which i have not considered yet i will review the source code carefully ||    link issues that are fixed eg ""333"" link it eg ""fixes  title of the pr must not reference an issue because github does not support autolinking there-->fixes #6169 and finish the todo additional feature which has mentioned beforehello i have fixed the bugs that appear in the icon of the linked file column and finish the additional feature i create a draft pull request if there are breaking any contribution rules please let me know if everything is ok i will create a pull request then i have tested to import some format of doc just a simple test of docx pptx and pdf format files( the bugs i found that is coming from the wrong filter i think it should be a mistakefor the additional features i was using the same method in:  think the modification wont do any harm to other code<!-- - go through the list below if a task has been completed mark it done by using ``- please dont remove any items just leave them unchecked if they are not applicable-->-  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository || i have finished the changing of changelogmd and the deletion of todo comments thanks for your instructions! @tobiasdiez @siedlerchr  || perfect! thanks again for your contribution and hope to see the next pr from you soon! || > perfect! thanks again for your contribution and hope to see the next pr from you soon!im searching for our next target issue ^_^"
Saulius Gražulis,,,
Baruch Oltman,,,
Niklas Schmitt,,,
Manas Singh,,,
Davide,,,
ningxie,,,
Johannes Theiner,,,
Kai Takac, 2868 - keep source groups selected after drag and drop 5939 by creating a mutable list in opendatabaseaction, this pr fixes a bug where the selection of the source groups was lost after drag and drop (#2868) i noticed a bug in the mapping from `groupnodeviewmodel` to the corresponding `treeitem`the bug might also have caused other selection related bugs-  change in changelogmd described (if applicable)-   this pr fixes the problem when opening a library from the recent libraries menu 5939 -  change in changelogmd described (if applicable)-  , || thanks again for the contribution! || very welcome guys :) happy to be able to support you || thanks again for your contribution! 👍  || we tried it locally did not fix the issue we will switch to `listof()`
Ruan,,,
Jörg Lenhard, update internal state of databasechangemonitor when external changes … implement 1516, …are resolvedattempts to 3498it seems that the internal state of databasechangemonitor was not updated correctly when external changes were marked as resolved causing the monitor to misbehave when you tried to save afterwards i am not sure how this bug came into being and what caused the update to get lost adding an additional update step seems to resolve the problem but i would really appreciate some more testing of this branch by other people-----  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`? implements #1516 selected fields (`isbn` `url` `uri` `issn` `doi`) are displayed in upper case in the entry editor-  change in changelogmd described," || it seems were having a bit of a shortage of reviewers at the moment )since this is such a small one-line change that actually fixes a bug ill merge this now even if theres only one review "" || lgtm! :+1: || one minor remark: """"isrn"""" which is used in biblatex techreports could - or should - be added apart from that: lgtm"""
Zheng Dong,,,
Felix Schnabel,,,
José Jesús Sinohui Fernández,"fix ""&"" on previews","    #333 : 47]( title of the pr must not reference an issue because github does not support autolinking there-->proposed solution for #3840 i deleted a line where the & was getting escaped when generating the preview apparently csl already handles some kind of escapingthe following entry```@misc{b1111  author  {b a}  title   {c \& d}  year    {1111}}```generates this html```<div class""csl-entry"">  <div class""csl-left-margin"">[1]</div><div class""csl-right-inline""> a b ôc &#38 dö 1111</div></div>```which renders in the previewlayout like this![ampersand]( - all items with `` are still a todo-  `` - remove items not applicable-->-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues>",|| i fear that will destroy the html export and other custom html exportsthe htmlchars formatter is used there a lot idea which just came to my mind have you tried without the html chars formatter eg if it works if you remove the html chars formatter in that step? || you are right! i removed the formatter from the csl adapter and it works just fine ill update the pr || @josejesinohui thank you for working on jabref - could you please merge upstream/master so that our automated checks are triggered on your pr? || would it be possible to add test cases here? you already provided a snippet - the reason is that in one year someone touching csladapter wont know that the htmlcharsformatter was removed and will re-add it again there wont be any automatism preventing that || hi sorry for the delay i will add tests and update my pr || perfect thanks for the quick followup!
Galileo Sartor,add chromium json for browser integration,this pr adds the chromium json used by the native-messaging-host systemi also added the file to the deb postinst/postrm files so they are installedthis is missing the windows/mac integration but the only difference is the path (like the firefox file)i added a different file even though the difference is minimal to avoid editing it in different scripts(postinst and installsh mainly the snap would still change the path)another pr in the jabref repo will edit the manual install script to include the choice of browser-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?),|| may i ask what this pr needs to be merged?   || @tobiasdiez nothing? )in all seriousness everything should be fine
Yuheng,,,
Oscar Lindgren,,,
David Stevens,add shortscience integration,    #333 : 47]( title of the pr must not reference an issue because github does not support autolinking there-->this pr introduces a simple integration towards shortscience as tracked by #6015 the integration is in the form of an additional context menu item called *search shortscience* which if clicked will open the users web browser to the search results for the selected entrys titlei experimented with generating a direct link to the shortscience page for the article instead of linking to the search results but the uri scheme is not entirely consistent nor predictable at shortscience so it was deemed more effort than it was worth <!-- - all items with `` are still a todo-  `` - remove items not applicable-->-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <  port right click menu to new style as in #5958 ![example]( are a few things im uncertain about implementation-wise i implemented this in what i believe is the same way as the other menu actions which is through the use of the deprecated class oldcommandwrapper im not sure if this is the best place to put the functionality nor if the deprecated class is still the correct approach im also still working on a testing strategy,|| hi @stevensdavid  thank you for your work and your pr you are right baseaction is deprecated and i already prepared a pr to completly remove the deprecated baseaction stuff from the rightclickmenuthe future way to implement menu actions is to put the action information in standardactions and to implement the action as a class extending simplecommand should be very straight forward for some hints please have a look at my pr #5958 if you have questions just ask me im happy to help you || > hi @stevensdavid  thank you for your work and your pr you are right baseaction is deprecated and i already prepared a pr to completly remove the deprecated baseaction stuff from the rightclickmenu> the future way to implement menu actions is to put the action information in standardactions and to implement the action as a class extending simplecommand should be very straight forward for some hints please have a look at my pr #5958 if you have questions just ask me im happy to help youhey @calixtus! it seems i need a few of the changes in api that you implemented in order to use the new style making it difficult to port the feature to the new style before your pr is merged specifically id need the new signature for `rightclickmenucreate` that you implemented in d1d74c7d4d12c81b1b324fc4f973f2f437b2bb83 as it includes the statemanager and the actionhelper methods you introduced in f664d10470572e00e1f5c91bbc3eec83853abb92 these commits dont seem particularly easy to cherry-pick without getting your other refactoring work and im not entirely sure if it is considered good practice to cherry-pick partial commits as i havent done that before   || yes maybe its better to wait until after the release of 50 its better not to introduce new features right now but to stabilize the current branch so we can release in some days and to put this feature into 51 || @stevensdavid you can base at @calixtuss branch if that works out or just merge his branch into your branch || i ended up merging @calixtuss branch into this one so the diff looks larger than it actually is as such this shouldnt be merged before #5958the code has been rewritten to use the new style and i have broken out the link generation into a separate method which now has a few test cases should the documentation and changelog be updated as part of this?edit: code style errors seem to be inherited from the merge and are not from new changes || i changed the base branch to `replace_deprecated` to enable reviewing the diff to  explanation: i mirrored the current state of  into the branch `replace_deprecated` by locally cloning @calixtuss fork (`git remote add calixtus ` `git fetch calixtus`) checking out the branch and pushing it to here (`origin`) || @koppor thank you for the feedback! ive pushed new commits that should resolve your comments
Matthias Mueller,bugfix for multiscreen,made following changes to solve multiscreen issue 5037:at jabrefgui:-  new local variable correctedwindowpos  to support saving of screendata- change in method openwindow to open window at the mainscreen if needed- made method printwindowstate() to print out windowposition data (if logger in debug mode)- made method  testexternalcoordinates() to test if window is on external screen- made method numberofmonitors() to test if external screen is connected( |-> numberofmonitors() finally replaced by screengetscreens()size())at jabrefpreferences: - made copy of the window position and size variables (recognised with _core)- made initialisation for the variables described above(made in accordance with an project on software engineering at university basel in cooperation with @unibas-marcelluethi)<!-- - all items with `` are still a todo-  `` - remove items not applicable-->-  change in changelogmd described (if applicable)-  ,|| thanks for the contribution please remove the travis integration as we recently switched to github actionsotherwise this looks good so far || thanks for the quick follow-up!
Giovanni Caldarola,,,
Weibao Fu,,,
Dawid Motyka,fix not escaping special characters in search pattern,"5892the error when searching for ""doi 101210/endrev/bnz006"" (or any phrases containing special javascript regular expression characters) is caused by not escaping special characters before passing search  pattern to javascript script used for highlighting words in preview view    #333 : 47]( title of the pr must not reference an issue because github does not support autolinking there--><!-- - all items with `` are still a todo-  `` - remove items not applicable-->-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues>",|| > a test would be greatok i will write a test || i think this is really great as well! thank you!
Nikolaus Koopmann,,,
LucasF,,,
